ID,Nimi,Number,Liik,Tee_GID,Piirkiirus,Kate
1,,,jalgrada,{1A9D7C8D-BC8D-42C6-A5BD-82F1CA18A92F},50,kruusatee
2,,,kvartalisisene tänav,{33C74406-F93C-4213-9331-80A66F8A267F},20,kruusatee
3,,7950356,kõrvaltänav,{D3C59FEA-47D9-42EE-AD2E-4586384C79ED},50,kattega tee (katte liik teadmata)
4,,,jalgtee,{042D6D61-33F8-4CE8-B1BF-CB39639C8F13},50,graniit
5,,,jalgrada,{FABD9A2F-E393-4D57-9D6B-E7B836C5AE37},50,kruusatee
6,,,kvartalisisene tänav,{AE3E5652-CF9E-4B06-AABF-C36FA5D93216},20,kattega tee (katte liik teadmata)
7,,7950356,kõrvaltänav,{1986C129-D541-492A-A018-97DD299BF11F},50,kattega tee (katte liik teadmata)
8,,,jalgrada,{08C6E537-8660-4582-9815-5CB1115D208D},50,kruusatee
9,,,jalgrada,{70393E32-652A-4ACF-996C-6E7FAD667660},50,kruusatee
10,,,kvartalisisene tänav,{20C771F3-F4C0-4918-9E84-352C2ACE876C},20,kattega tee (katte liik teadmata)
11,,7950356,kõrvaltänav,{CFB1C3BE-F06E-4F07-8774-448FF25C9234},50,kattega tee (katte liik teadmata)
12,,,jalgrada,{88F86FC1-6725-49AA-A512-09701E42E01C},50,kruusatee
13,,,muu tee,{CF9AB163-5CC9-4531-B9CA-A018BA780706},90,kruusatee
14,,,kvartalisisene tänav,{3F4FC162-AD84-4203-977D-38EBB6BAD3D4},20,kruusatee
15,,,kõrvaltänav,{DBABB31F-3DF4-498C-A6D8-4F7A4AD3A514},50,kattega tee (katte liik teadmata)
16,,,kõnnitee,{F0413B1B-2BBA-4714-9317-519F38E48728},50,kattega tee (katte liik teadmata)
17,,,muu tee,{80065B6B-E0B5-49BC-818D-3578C200D0DF},90,kruusatee
18,,,kvartalisisene tänav,{DE6647ED-E851-46A1-A3E1-5DE87698671F},20,kruusatee
19,,,kõrvaltänav,{EB591A00-132C-45D1-8E04-1325A8F5A739},50,kattega tee (katte liik teadmata)
20,,,kõnnitee,{A25970BC-561A-45A0-BC39-A7F3D85C4285},50,kattega tee (katte liik teadmata)
21,,,muu tee,{E8E8E067-E690-4647-9971-66F6792A716E},90,kruusatee
22,,,muu tee,{080E0B4E-8B59-41F0-BAD1-3EADDEBF2406},90,kruusatee
23,,,kõrvaltänav,{555E7768-1D2B-47EF-937E-56AE3D0228C0},50,kattega tee (katte liik teadmata)
24,,,muu tee,{49517B71-01F8-4C75-AF01-14000EA53224},90,kruusatee
25,,,muu tee,{563E06D8-E176-4D66-98BF-369512D074A6},90,kruusatee
26,,,kvartalisisene tänav,{BE6F4A99-329A-410C-A350-72166A896A4E},50,kruusatee
27,,,kõrvaltänav,{772AC917-DEA2-47A4-8950-42054AEACA46},50,kattega tee (katte liik teadmata)
28,,,jalgratta- ja jalgtee,{7E3D21FB-A46E-47E2-95F0-BA7AE8E1560D},50,kattega tee (katte liik teadmata)
29,,,muu tee,{568A4809-16B6-4A86-ABA6-0879CF9D714E},90,kruusatee
30,,,kõnnitee,{046968A7-7130-48F1-AAF6-6F3BACD3394E},50,kattega tee (katte liik teadmata)
31,,,kõnnitee,{8CEC49FD-64AB-428F-BB91-89C45590840A},50,kattega tee (katte liik teadmata)
