id,name,population,area,density,geometry
1,Variku,1776,0.76,337,"POLYGON ((26.69461115329776 58.34717841939705, 26.69432412627726 58.34736262915211, 26.69489387448502 58.34764062332398, 26.71218723328768 58.35619335944394, 26.7136847270116 58.3570506269402, 26.71425501478626 58.35743037896798, 26.71481989896314 58.35786645071639, 26.71551802130388 58.35848222840554, 26.71628893776996 58.35933231095941, 26.71683743959942 58.36011012749281, 26.71658525127448 58.35960680879983, 26.71611399787474 58.35872590325884, 26.71280896004547 58.35331985331856, 26.71228790711076 58.35239686734185, 26.71173544693633 58.35102192237951, 26.71162326293923 58.35011495445902, 26.71165029955412 58.34936867066927, 26.7117529488882 58.34871761684685, 26.71237575035735 58.34526939370994, 26.71274073796284 58.34525314745964, 26.71203877446193 58.34528120349496, 26.70751049766286 58.34532415027596, 26.70175193927663 58.34494417211472, 26.69461115329776 58.34717841939705))"
2,Ropka,4582,1.44,3182,"POLYGON ((26.74109449507866 58.36004347663609, 26.74136604950925 58.35982565480754, 26.74125931030958 58.35872839765975, 26.74046191667097 58.35776279457514, 26.74079590217001 58.3554082730891, 26.73802707039681 58.35530376203025, 26.73370791577931 58.35515606021934, 26.73290025369382 58.35521155783993, 26.73245794078274 58.35529404221327, 26.73185121861819 58.35551594097466, 26.73108773147577 58.35586585731868, 26.73001484789219 58.35580795849377, 26.73028346187921 58.35378676691124, 26.7266410085592 58.35371081495987, 26.72663824139059 58.35350928274053, 26.72669612362027 58.35240737672066, 26.72694046560104 58.35037304943791, 26.72325314917918 58.35021055802342, 26.72360867564737 58.34637930279216, 26.72356669789168 58.34583604911664, 26.71737834690254 58.34589015966397, 26.71494097332523 58.3459759142347, 26.71456391043207 58.34461317256088, 26.71416193849185 58.34416730025985, 26.71397898232992 58.34373317775172, 26.71304948953303 58.34373319312444, 26.71274073796284 58.34525314745964, 26.71237575035735 58.34526939370994, 26.7117529488882 58.34871761684685, 26.71165029955412 58.34936867066927, 26.71162326293923 58.35011495445902, 26.71173544693633 58.35102192237951, 26.71228790711076 58.35239686734185, 26.71280896004547 58.35331985331856, 26.71611399787474 58.35872590325884, 26.71658525127448 58.35960680879983, 26.71683743959942 58.36011012749281, 26.71729162198166 58.36100002106588, 26.7176894705442 58.36250916064677, 26.71762411717238 58.36426871288648, 26.71762029779223 58.3647534910068, 26.71781370360723 58.36442127966271, 26.71794124345353 58.36399683194274, 26.71856340624174 58.36218789252441, 26.7188164244837 58.36173924660584, 26.71911651584845 58.36138104525738, 26.71968869704111 58.36091313675756, 26.72047293716399 58.36050422022078, 26.72131024097151 58.36021479124468, 26.73061179683679 58.35769297972298, 26.7321212705795 58.3573731405029, 26.73384728799515 58.35703515750526, 26.73554918654182 58.35704383433928, 26.73664792353189 58.35710762256309, 26.73738989150523 58.35725119211716, 26.73781187125522 58.3573741005845, 26.73870314773358 58.35770650579296, 26.73914902852027 58.35794458251765, 26.73960607081149 58.35824362839961, 26.74009795645046 58.35867814287287, 26.74089460770969 58.35980910636727, 26.74109449507866 58.36004347663609))"
3,Vaksali,3031,0.67,4524,"POLYGON ((26.72131024097151 58.36021479124468, 26.72047293716399 58.36050422022078, 26.71968869704111 58.36091313675756, 26.71911651584845 58.36138104525738, 26.7188164244837 58.36173924660584, 26.71856340624174 58.36218789252441, 26.71794124345353 58.36399683194274, 26.71781370360723 58.36442127966271, 26.71762029779223 58.3647534910068, 26.71651094780992 58.36672622090914, 26.7158564476528 58.36737122562512, 26.71458359919436 58.36841873672421, 26.71169810778503 58.37025281206566, 26.70456114683983 58.37480358624985, 26.70081099222061 58.37719418697502, 26.70160865454879 58.37750300378176, 26.70346500671397 58.37804594484043, 26.70906699821619 58.37906290152151, 26.71093154845119 58.37621245377476, 26.71217774238385 58.37429403048905, 26.71474222939066 58.3707977745598, 26.7172613985042 58.37183610748864, 26.72117835917985 58.36922941106481, 26.72143289339905 58.36907924787226, 26.72124875837986 58.36724934491822, 26.72144203464804 58.36535193179643, 26.72096483199294 58.36368417300118, 26.72125014686945 58.3616101552274, 26.72131024097151 58.36021479124468))"
4,Karlova,8375,2.29,3657,"POLYGON ((26.72160564767468 58.37067878863721, 26.72198986288642 58.37181079838772, 26.72226111131566 58.37207180459525, 26.72258835055886 58.3720121858873, 26.72359465328182 58.37199383847076, 26.72433559903005 58.37210405420212, 26.72603536737191 58.37238516560288, 26.72715562405019 58.37082438103067, 26.72823858754108 58.37136560702979, 26.72872703676089 58.37187572682377, 26.72938207024 58.37205265556211, 26.73208063847764 58.37233745696783, 26.73169518185548 58.37265961619175, 26.73570459971814 58.37402171626197, 26.73851301674917 58.37502895841357, 26.74149997169535 58.37149592089403, 26.74488250489288 58.36968891839923, 26.74899520510601 58.36847713463011, 26.74994071491091 58.3679410663568, 26.75063233530424 58.36710294339495, 26.75012814048588 58.36618044526439, 26.7492665546334 58.36538010926573, 26.74863021088921 58.36451454339781, 26.748636300322 58.36407245704758, 26.74792968976598 58.36403064256567, 26.74746977852244 58.36403605961085, 26.74743877968025 58.36377647393228, 26.74733343552827 58.36330253686391, 26.74703269147308 58.36295410094538, 26.74663041694428 58.36261908202247, 26.74592649146441 58.36225236509377, 26.74219285040739 58.36085239082318, 26.74147470550024 58.3604118398538, 26.74109449507866 58.36004347663609, 26.74089460770969 58.35980910636727, 26.74009795645046 58.35867814287287, 26.73960607081149 58.35824362839961, 26.73914902852027 58.35794458251765, 26.73870314773358 58.35770650579296, 26.73781187125522 58.3573741005845, 26.73738989150523 58.35725119211716, 26.73664792353189 58.35710762256309, 26.73554918654182 58.35704383433928, 26.73384728799515 58.35703515750526, 26.7321212705795 58.3573731405029, 26.73061179683679 58.35769297972298, 26.72131024097151 58.36021479124468, 26.72125014686945 58.3616101552274, 26.72096483199294 58.36368417300118, 26.72144203464804 58.36535193179643, 26.72124875837986 58.36724934491822, 26.72143289339905 58.36907924787226, 26.72160564767468 58.37067878863721))"
5,Tähtvere,3100,2.5,240,"POLYGON ((26.71452044936337 58.38256801149841, 26.71442404503971 58.38245233993052, 26.71376198542787 58.38257424297081, 26.71106421602605 58.38297321467019, 26.70953293027256 58.38208990755381, 26.70932891968763 58.37989884074593, 26.70989805356749 58.37926269355178, 26.70906699821619 58.37906290152151, 26.70346500671397 58.37804594484043, 26.70160865454879 58.37750300378176, 26.70081099222061 58.37719418697502, 26.69898285849289 58.37842917454008, 26.69036597322998 58.38358640143974, 26.6894040469364 58.38448010241634, 26.68882105442091 58.38532717588287, 26.68098984925425 58.39586371358585, 26.68197884779234 58.3960644580155, 26.68723853785816 58.39713848500418, 26.68870413596294 58.39744298478642, 26.69410214811264 58.39852183701159, 26.69497946149024 58.39869224097004, 26.69681131935291 58.39720648615666, 26.69873556340612 58.39641110283031, 26.70244899068316 58.39573957510435, 26.70615965830853 58.39447723598211, 26.70882334164557 58.39328866401893, 26.71080438166785 58.39188298771123, 26.70460663605819 58.38771864334005, 26.70797414511318 58.38631664986264, 26.71014041643739 58.38514375032511, 26.71132351524411 58.38446009537862, 26.71227094383661 58.38382881900471, 26.71452044936337 58.38256801149841))"
6,Veeriku,5256,2.82,1864,"POLYGON ((26.67366593499828 58.40456158385356, 26.67467203728743 58.40345372409758, 26.67650331833926 58.4009773979971, 26.67776880194707 58.39928117521239, 26.67950007453096 58.39692883120591, 26.68037728268919 58.39573936790219, 26.68098984925425 58.39586371358585, 26.68882105442091 58.38532717588287, 26.6894040469364 58.38448010241634, 26.69036597322998 58.38358640143974, 26.69898285849289 58.37842917454008, 26.70081099222061 58.37719418697502, 26.70456114683983 58.37480358624985, 26.6992007698726 58.37352249019651, 26.69653461281283 58.37276461029876, 26.69682712856389 58.37203403444043, 26.6972081963498 58.37137121238002, 26.69656223891613 58.37125458832088, 26.6961947621766 58.37114554317107, 26.69486278429627 58.37069580503134, 26.69555584268936 58.37014320001239, 26.69186102757558 58.36898470031192, 26.69045516963816 58.37008238604805, 26.68688721236679 58.36909736740582, 26.68415051145899 58.36838733251761, 26.68268269687127 58.36811496728634, 26.68110080534841 58.36776874986283, 26.6793926294746 58.36745479100153, 26.67813053924862 58.36713410611947, 26.67826828134431 58.36962961921012, 26.67834944677302 58.37280692819223, 26.67814705043462 58.37419845285422, 26.67758613446519 58.37609180848362, 26.67661384399981 58.37806062992836, 26.6763246764578 58.37861787596093, 26.67649456208593 58.37889960264221, 26.67702733644495 58.37901530536906, 26.67851470797447 58.37902372992538, 26.6830423189348 58.38095011589952, 26.67978034085841 58.38604973402528, 26.6782204749577 58.38849110855084, 26.67634987238587 58.39139061526492, 26.6727843566737 58.39694033363145, 26.6706213239406 58.40028091057746, 26.66707462856828 58.40579714683884, 26.67366593499828 58.40456158385356))"
7,Ihaste,2788,4.23,659,"POLYGON ((26.78724520213929 58.36404273261096, 26.79383642063437 58.36378966111425, 26.79399049805097 58.36378376337345, 26.79801471216285 58.36359830587925, 26.79697582375398 58.36208227157177, 26.79691154076607 58.36197903177272, 26.79679266139313 58.36180163486175, 26.79667423402783 58.3615759143473, 26.79661412366266 58.36138479011255, 26.7965808270279 58.36112520496925, 26.79657851653221 58.36098806723169, 26.7965400756353 58.36025312316079, 26.79651156306536 58.35949632794389, 26.79643871096693 58.35882694612275, 26.79625612390272 58.35862895274168, 26.7959021355883 58.35830897462802, 26.79275354203685 58.3552645868804, 26.78991524127885 58.35243179876046, 26.78815111843295 58.35064798325443, 26.79077015279017 58.34836930489097, 26.79112390894185 58.34623164246192, 26.79136251855715 58.34430867147491, 26.78782258931334 58.34318017712973, 26.77611558028964 58.33932221769678, 26.77525037154976 58.33902016369253, 26.77488071357431 58.33941901179454, 26.7745765940782 58.34158670718757, 26.77414687372698 58.34204374519622, 26.77339346153316 58.34237914461745, 26.7723504001521 58.34261516300174, 26.76972265548815 58.34233663715852, 26.76737991592309 58.34287554745752, 26.76561788475645 58.34340208867645, 26.76225881479914 58.34524084105464, 26.76117149184153 58.34561188062409, 26.76045352230092 58.34585484504538, 26.75894473533972 58.34637240822039, 26.75778998855255 58.34697553056728, 26.75735932374116 58.34787263571527, 26.75663528182887 58.34874973426385, 26.75521139427333 58.34918771732693, 26.75292070221451 58.34937081390496, 26.75100524236482 58.34976093427725, 26.75008318098643 58.35092920511214, 26.7494265545053 58.35340734629217, 26.74814017515389 58.35450672249567, 26.74707764622846 58.35551537402466, 26.75340607961058 58.35686197706822, 26.75469519404696 58.35714536725463, 26.75971518872921 58.35926867110503, 26.76041391449225 58.3579278392865, 26.76281366934122 58.35603307232754, 26.76533839525306 58.35441381007614, 26.76558523392628 58.35424879244335, 26.76582189779518 58.3542047578348, 26.76736233997412 58.3542828576126, 26.76858528092886 58.35434500962724, 26.76989068756053 58.35439906698953, 26.77113148288802 58.35444040857876, 26.77172296965625 58.35487910809356, 26.77296645296555 58.35569722566901, 26.77481888145995 58.35714593325944, 26.77626128139205 58.35832162591943, 26.77755370505368 58.3595964197876, 26.77815768962978 58.3603283026035, 26.77928309686735 58.36169133893351, 26.7800963382496 58.36277900013148, 26.7809872884805 58.36459317191604, 26.78724520213929 58.36404273261096))"
8,Tammelinna,8148,3.18,2562,"POLYGON ((26.70456114683983 58.37480358624985, 26.71169810778503 58.37025281206566, 26.71458359919436 58.36841873672421, 26.7158564476528 58.36737122562512, 26.71651094780992 58.36672622090914, 26.71762029779223 58.3647534910068, 26.71762411717238 58.36426871288648, 26.7176894705442 58.36250916064677, 26.71729162198166 58.36100002106588, 26.71683743959942 58.36011012749281, 26.71628893776996 58.35933231095941, 26.71551802130388 58.35848222840554, 26.71481989896314 58.35786645071639, 26.71425501478626 58.35743037896798, 26.7136847270116 58.3570506269402, 26.71218723328768 58.35619335944394, 26.69489387448502 58.34764062332398, 26.69047495420114 58.35087159450837, 26.68911493915406 58.3519744520643, 26.68648666354218 58.35449229909131, 26.68565351106751 58.35518013849619, 26.68499530825919 58.35572653395609, 26.68374779646303 58.35651649323949, 26.68217804931477 58.35725649643227, 26.68494135355179 58.35886025375046, 26.69091774984615 58.36158137891655, 26.6902887446754 58.36203405206234, 26.68904327115856 58.36301999905248, 26.68857542740271 58.36341451967131, 26.68831930031018 58.36353110277059, 26.68861001529483 58.36364388613837, 26.69572261378852 58.36598195702073, 26.69973665438566 58.36726614308203, 26.70066991489034 58.3663355587215, 26.7034925104918 58.36679746243516, 26.70335416945899 58.36711149287642, 26.70002566314844 58.37251446779635, 26.69975788511496 58.3730929096403, 26.69944047326424 58.3734702539295, 26.6992007698726 58.37352249019651, 26.70456114683983 58.37480358624985))"
9,Ränilinna,1930,1.22,1582,"POLYGON ((26.67490929688829 58.35985826973608, 26.67503420944387 58.359900220596, 26.67520227421585 58.35986407760169, 26.67556731347687 58.36020209766379, 26.67586716953644 58.36054139518598, 26.67636407023452 58.36042062453716, 26.67802872595642 58.3613253152782, 26.67799273100707 58.36097650904969, 26.67828304483709 58.36046614379593, 26.67872766127405 58.35984050608228, 26.679505390085 58.35917362822722, 26.68028217610435 58.35859801358824, 26.68217804931477 58.35725649643227, 26.68374779646303 58.35651649323949, 26.68499530825919 58.35572653395609, 26.68563623366255 58.35519802427827, 26.68648666354218 58.35449229909131, 26.68911493915406 58.3519744520643, 26.69047495420114 58.35087159450837, 26.69489387448502 58.34764062332398, 26.69432412627726 58.34736262915211, 26.69402073060197 58.34755725156948, 26.69145275631885 58.34629507593939, 26.68801474560922 58.34462527490383, 26.6849686427347 58.34312556697783, 26.6835952894825 58.34393643622291, 26.67880331969015 58.34890812305716, 26.6760166474552 58.3515788950325, 26.67545937213151 58.35187482251308, 26.67724270620556 58.35311659168698, 26.67536932084221 58.35285928472369, 26.67495367705159 58.35368012123722, 26.67389813273165 58.35354060644251, 26.67094932757575 58.35671327662359, 26.67067330918576 58.3567797131256, 26.67069877499123 58.3568089230005, 26.66988194913418 58.35700537281602, 26.6707166462531 58.35743951337309, 26.67100054550842 58.35779730583089, 26.67127116807296 58.35772720514996, 26.67176686516126 58.35798531176912, 26.67138379176766 58.35808292360714, 26.67310107728546 58.35976795526735, 26.67273976245707 58.35987112712156, 26.67307932237002 58.3602002599942, 26.67367908158527 58.36002872897269, 26.67370507651672 58.36004903064369, 26.67490929688829 58.35985826973608))"
10,Ropka tööstuse,2200,3.64,604,"POLYGON ((26.71304948953303 58.34373319312444, 26.71397898232992 58.34373317775172, 26.71416193849185 58.34416730025985, 26.71456391043207 58.34461317256088, 26.71494097332523 58.3459759142347, 26.71737834690254 58.34589015966397, 26.72356669789168 58.34583604911664, 26.72360867564737 58.34637930279216, 26.72325314917918 58.35021055802342, 26.72694046560104 58.35037304943791, 26.72669612362027 58.35240737672066, 26.72663824139059 58.35350928274053, 26.7266410085592 58.35371081495987, 26.73028346187921 58.35378676691124, 26.73001484789219 58.35580795849377, 26.73108773147577 58.35586585731868, 26.73185121861819 58.35551594097466, 26.73245794078274 58.35529404221327, 26.73290025369382 58.35521155783993, 26.73370791577931 58.35515606021934, 26.73802707039681 58.35530376203025, 26.74079590217001 58.3554082730891, 26.74046191667097 58.35776279457514, 26.74125931030958 58.35872839765975, 26.74136604950925 58.35982565480754, 26.74109449507866 58.36004347663609, 26.74147470550024 58.3604118398538, 26.74219285040739 58.36085239082318, 26.74592649146441 58.36225236509377, 26.74663041694428 58.36261908202247, 26.74703269147308 58.36295410094538, 26.74733343552827 58.36330253686391, 26.74743877968025 58.36377647393228, 26.74746977852244 58.36403605961085, 26.74792968976598 58.36403064256567, 26.748636300322 58.36407245704758, 26.74873432947583 58.36381903341124, 26.75001286637479 58.36233668550349, 26.75180086119737 58.36088809339992, 26.75171634795475 58.3595870693948, 26.75105801852914 58.35853910865839, 26.74792183430509 58.35734867079422, 26.74720810784029 58.35672376810396, 26.74673675147983 58.35596339921554, 26.74707764622846 58.35551537402466, 26.74814017515389 58.35450672249567, 26.7494265545053 58.35340734629217, 26.75008318098643 58.35092920511214, 26.75100524236482 58.34976093427725, 26.75292070221451 58.34937081390496, 26.75521139427333 58.34918771732693, 26.75663528182887 58.34874973426385, 26.75735932374116 58.34787263571527, 26.75778998855255 58.34697553056728, 26.75894473533972 58.34637240822039, 26.76045352230092 58.34585484504538, 26.75978496899793 58.34539782202233, 26.75911259963458 58.3449881980138, 26.75821366219465 58.34452001822356, 26.75763193989839 58.34425624727657, 26.75698897270411 58.34400713883829, 26.75592631655478 58.34362585820787, 26.75511716018862 58.34338637153603, 26.75369214193181 58.34304436022362, 26.75170765282247 58.3427200878194, 26.75006567994663 58.34252963778406, 26.74566163423875 58.3392223525428, 26.73987702966279 58.33919941731661, 26.73583016891217 58.33923947518377, 26.73179300481318 58.33926178382162, 26.72734238413728 58.33921484453649, 26.7244799122691 58.33922918062295, 26.72445378962425 58.34046807541684, 26.72037834635307 58.34041125015126, 26.71466367673117 58.34032629639714, 26.71460338597273 58.34088559006854, 26.71355248733884 58.3404780302112, 26.71312781214889 58.34332986092593, 26.71304948953303 58.34373319312444))"
